Inek_ID,Irk,Yas,Agirlik_kg,Dogum_Sayisi,Laktasyon_Asamasi,Ureme_Durumu,Yem_Tipi,Yem_Miktari_kg_gun,Yemleme_Sikligi,Su_Tuketimi_L_gun,Walking_Distance(km/day),Grazing_Duration(hrs/day),Rumination_Time(hrs/day),Resting_Hours(hrs/day),Vucut_Sicakligi_C,Nabiz_bpm,Asi_Durumu,Gecmis_Hastaliklar,Saglik_Uyarilari,Ortam_Sicakligi_C,Nem_Yuzde,Mevsim,Barinak_Kosullari,Sut_Verimi_L_gun
COW_0286,Holstein,8,343,1,Dry,Pregnant,Concentrate,14.9,3,32,2.48,6.8,5.1,7.8,37.9,59,Yes,FMD,Normal,37.4,48,Summer,Poor,14.4
COW_0287,Holstein,3,544,3,Mid,Open,Green Fodder,14.5,2,65,1.1,6.3,7.3,8.7,37.7,62,No,FMD,High Temp,21.5,79,Summer,Moderate,9.7
COW_0288,Sahiwal,4,434,4,Early,Pregnant,Green Fodder,14.2,2,62,3.96,6.2,4.6,8.3,37.8,56,Yes,Digestive Disorder,Normal,34.4,37,Winter,Moderate,14.5
COW_0289,Sahiwal,10,580,5,Mid,Pregnant,Concentrate,21.6,4,51,2.01,2.9,4.2,9.8,38.4,68,No,None,Normal,26.9,74,Winter,Clean,10.3
COW_0290,Holstein,9,478,3,Mid,Pregnant,Concentrate,12.7,2,50,3.26,4.9,7.5,10.9,38.9,80,Yes,FMD,Normal,27.0,67,Monsoon,Clean,17.6
COW_0291,Jersey,6,555,6,Early,Inseminated,Concentrate,13.7,3,68,2.73,2.3,7.9,8.8,37.8,46,No,FMD,High Temp,22.6,77,Summer,Clean,10.7
COW_0292,Sahiwal,8,529,2,Late,Inseminated,Green Fodder,23.8,2,68,4.46,7.9,7.8,7.4,39.4,75,No,None,Normal,25.4,87,Monsoon,Moderate,6.9
COW_0293,Jersey,7,570,3,Late,Inseminated,Concentrate,18.8,2,41,2.96,2.0,7.0,11.1,38.0,73,No,None,Low Activity,38.1,82,Summer,Poor,14.4
COW_0294,Jersey,4,470,6,Late,Pregnant,Dry Fodder,11.3,2,33,2.43,6.2,5.2,10.7,38.9,71,Yes,None,Normal,16.6,85,Summer,Poor,16.5
COW_0295,Gir,9,466,1,Early,Inseminated,Concentrate,12.0,3,32,1.06,3.7,5.0,8.2,38.6,48,Yes,Digestive Disorder,Low Activity,39.4,64,Summer,Clean,18.1
COW_0296,Holstein,7,551,2,Mid,Pregnant,Concentrate,23.6,3,69,2.32,5.1,7.9,10.6,38.7,55,Yes,Digestive Disorder,Normal,21.8,52,Monsoon,Moderate,8.5
COW_0297,Holstein,5,396,1,Dry,Pregnant,Green Fodder,16.9,3,45,2.9,3.1,8.9,8.1,37.7,42,Yes,FMD,Low Activity,25.1,52,Summer,Moderate,17.4
COW_0298,Gir,9,535,1,Early,Inseminated,Dry Fodder,16.4,2,61,4.83,3.1,4.7,9.5,38.8,56,No,FMD,Normal,21.9,57,Winter,Clean,18.7
COW_0299,Jersey,8,553,2,Late,Pregnant,Dry Fodder,22.5,2,33,2.37,4.4,10.0,9.0,39.4,60,No,None,Normal,33.9,40,Winter,Poor,10.8
COW_0300,Jersey,10,576,5,Late,Inseminated,Dry Fodder,24.0,3,69,4.66,7.9,9.5,9.1,39.1,48,Yes,Mastitis,High Temp,34.2,83,Summer,Clean,8.6
COW_0301,Jersey,6,419,2,Late,Open,Concentrate,21.4,4,30,3.99,7.9,7.1,6.2,38.5,41,Yes,Digestive Disorder,High Temp,16.6,78,Summer,Moderate,16.1
COW_0302,Gir,8,378,3,Late,Inseminated,Concentrate,11.7,3,65,2.49,3.5,4.9,6.2,38.8,53,No,FMD,Low Activity,29.1,51,Winter,Poor,19.9
COW_0303,Gir,8,433,5,Early,Inseminated,Green Fodder,23.1,2,64,1.58,3.7,8.7,8.0,38.8,69,No,None,High Temp,36.9,51,Summer,Poor,15.8
COW_0304,Holstein,4,418,5,Dry,Inseminated,Dry Fodder,16.0,2,46,1.37,7.2,7.7,10.7,39.3,49,Yes,FMD,High Temp,31.0,71,Monsoon,Poor,17.2
COW_0305,Holstein,7,483,3,Dry,Pregnant,Dry Fodder,24.9,4,50,3.98,3.0,5.5,10.3,38.4,54,No,Digestive Disorder,Normal,35.3,31,Monsoon,Poor,15.4
COW_0306,Holstein,5,316,6,Late,Inseminated,Green Fodder,13.3,2,64,4.83,4.1,4.9,9.8,37.6,46,Yes,FMD,Low Activity,30.0,49,Winter,Poor,17.2
COW_0307,Sahiwal,6,566,4,Early,Pregnant,Concentrate,12.5,4,38,1.79,4.4,6.0,11.4,39.0,51,Yes,Digestive Disorder,High Temp,28.9,68,Monsoon,Moderate,12.1
COW_0308,Gir,9,552,6,Dry,Inseminated,Dry Fodder,24.4,4,48,3.46,7.1,8.9,9.5,39.4,61,No,Mastitis,Low Activity,17.1,85,Summer,Moderate,5.1
COW_0309,Sahiwal,4,452,4,Dry,Inseminated,Green Fodder,21.2,3,47,1.7,5.5,7.9,8.6,39.4,58,Yes,FMD,Normal,30.6,88,Monsoon,Clean,10.9
COW_0310,Jersey,3,398,1,Late,Open,Green Fodder,10.6,4,64,4.56,5.2,8.4,10.7,39.1,66,No,FMD,Normal,34.5,85,Summer,Moderate,19.2
COW_0311,Gir,4,389,3,Early,Pregnant,Dry Fodder,15.0,2,41,3.55,3.9,4.7,6.1,38.4,60,No,Mastitis,Low Activity,22.8,89,Winter,Moderate,6.5
COW_0312,Gir,5,434,3,Early,Open,Dry Fodder,17.8,4,65,2.23,7.5,10.0,7.2,38.6,78,No,None,High Temp,32.8,31,Winter,Moderate,9.2
COW_0313,Gir,2,590,3,Mid,Inseminated,Dry Fodder,12.9,4,57,2.17,4.3,4.4,11.2,38.0,76,No,FMD,High Temp,25.2,83,Winter,Poor,14.9
COW_0314,Sahiwal,4,347,4,Dry,Pregnant,Dry Fodder,12.9,4,65,4.47,3.5,7.8,11.2,38.2,61,Yes,Digestive Disorder,High Temp,17.5,36,Summer,Poor,8.2
COW_0315,Gir,10,509,3,Mid,Inseminated,Concentrate,10.7,4,60,4.93,5.5,6.6,8.6,38.4,80,Yes,None,Normal,19.9,88,Winter,Poor,19.5
COW_0316,Gir,6,577,4,Early,Inseminated,Green Fodder,23.3,4,63,2.28,4.2,5.9,11.8,39.4,71,Yes,Mastitis,Low Activity,20.8,44,Summer,Clean,11.8
COW_0317,Holstein,3,546,3,Dry,Open,Concentrate,23.8,3,32,2.75,5.9,8.2,8.7,39.3,70,No,None,Normal,36.0,62,Summer,Moderate,9.6
COW_0318,Sahiwal,5,335,6,Late,Open,Concentrate,15.3,4,33,4.6,2.2,7.4,6.5,38.8,74,No,FMD,Normal,20.1,41,Summer,Clean,10.7
COW_0319,Holstein,9,471,6,Dry,Inseminated,Green Fodder,15.0,2,68,1.53,5.4,7.5,6.6,37.8,68,No,FMD,High Temp,28.8,46,Summer,Moderate,18.9
COW_0320,Sahiwal,8,474,5,Dry,Open,Green Fodder,23.8,3,60,3.05,3.9,7.3,7.6,39.0,76,Yes,FMD,Normal,33.7,45,Summer,Moderate,14.2
COW_0321,Jersey,6,314,5,Early,Pregnant,Green Fodder,14.1,2,41,1.25,6.9,6.4,7.6,38.6,70,Yes,Mastitis,Low Activity,29.0,37,Summer,Poor,17.5
COW_0322,Gir,3,309,5,Early,Open,Dry Fodder,11.4,3,41,3.19,4.5,7.8,11.7,37.9,55,No,None,Normal,15.0,59,Monsoon,Clean,16.5
COW_0323,Sahiwal,5,504,5,Early,Pregnant,Dry Fodder,14.2,2,50,1.39,3.2,4.5,9.0,39.5,61,Yes,None,Normal,25.1,87,Monsoon,Poor,7.2
COW_0324,Gir,7,546,1,Early,Open,Concentrate,24.5,2,46,3.47,6.1,4.9,9.0,39.3,65,No,Mastitis,Low Activity,24.0,43,Winter,Moderate,16.3
COW_0325,Jersey,3,313,4,Late,Open,Concentrate,14.0,2,63,1.11,4.0,7.5,11.6,38.9,56,Yes,None,Low Activity,21.9,54,Summer,Moderate,14.3
COW_0326,Holstein,3,458,4,Dry,Open,Concentrate,19.4,4,60,4.12,6.1,7.6,11.5,38.2,48,No,Mastitis,Normal,37.6,33,Winter,Moderate,6.2
COW_0327,Gir,8,504,1,Dry,Inseminated,Concentrate,24.0,4,52,4.97,7.4,9.1,7.2,38.2,54,Yes,Mastitis,Low Activity,22.2,43,Summer,Moderate,20.0
COW_0328,Jersey,6,584,4,Mid,Inseminated,Concentrate,23.8,2,53,2.83,5.0,4.6,10.1,37.9,52,No,Digestive Disorder,Normal,19.7,75,Monsoon,Clean,14.4
COW_0329,Gir,8,387,5,Mid,Inseminated,Green Fodder,22.5,3,64,1.67,7.2,7.2,7.6,39.2,74,No,Mastitis,High Temp,30.0,64,Summer,Poor,14.6
COW_0330,Holstein,4,318,6,Early,Inseminated,Concentrate,24.9,2,39,4.55,5.1,6.5,10.0,37.6,59,Yes,None,Low Activity,35.5,71,Winter,Moderate,11.3
COW_0331,Jersey,10,362,6,Early,Open,Concentrate,12.3,3,64,3.44,4.3,5.9,7.4,38.9,61,No,Digestive Disorder,Low Activity,38.4,47,Monsoon,Moderate,12.5
COW_0332,Sahiwal,6,343,4,Dry,Open,Concentrate,11.9,3,31,4.68,6.3,7.1,6.3,39.3,61,No,None,High Temp,21.3,79,Monsoon,Clean,19.3
COW_0333,Sahiwal,5,444,1,Late,Inseminated,Dry Fodder,12.6,2,41,3.94,3.8,4.2,7.1,38.7,76,Yes,Mastitis,High Temp,38.3,83,Summer,Moderate,18.9
COW_0334,Jersey,3,484,6,Mid,Pregnant,Dry Fodder,10.4,2,41,2.92,5.0,4.4,9.4,38.2,61,Yes,Digestive Disorder,High Temp,18.8,83,Summer,Clean,7.3
COW_0335,Holstein,9,576,3,Mid,Inseminated,Concentrate,21.8,2,35,1.08,7.0,8.0,7.4,38.6,61,No,None,Low Activity,39.6,60,Summer,Poor,14.2
COW_0336,Holstein,3,325,6,Dry,Open,Green Fodder,20.5,4,57,3.82,4.6,7.4,7.0,38.8,43,No,FMD,Normal,39.0,66,Monsoon,Moderate,6.0
COW_0337,Sahiwal,8,576,4,Late,Open,Dry Fodder,11.0,2,66,1.41,7.5,8.3,7.7,38.0,78,No,None,Normal,16.1,80,Winter,Clean,10.1
COW_0338,Jersey,6,492,6,Dry,Inseminated,Concentrate,13.1,2,51,4.01,2.4,5.4,7.2,38.2,77,No,Digestive Disorder,Normal,29.3,49,Winter,Clean,10.1
COW_0339,Jersey,8,426,2,Late,Pregnant,Green Fodder,19.5,4,31,4.79,3.4,7.0,9.4,38.4,76,No,Mastitis,Low Activity,34.2,38,Monsoon,Poor,13.2
COW_0340,Sahiwal,2,600,4,Late,Open,Dry Fodder,20.9,3,53,4.96,6.0,6.2,6.7,37.6,78,Yes,Mastitis,High Temp,24.0,42,Summer,Poor,19.6
COW_0341,Sahiwal,7,371,4,Early,Pregnant,Dry Fodder,16.1,4,62,2.4,6.1,7.5,6.6,37.8,56,No,FMD,Normal,20.6,56,Winter,Clean,6.5
COW_0342,Jersey,4,501,4,Dry,Pregnant,Concentrate,17.7,4,45,3.02,7.4,9.4,8.9,38.8,69,No,Mastitis,High Temp,19.8,77,Winter,Clean,6.5
COW_0343,Holstein,2,512,3,Early,Inseminated,Green Fodder,14.8,3,59,2.65,4.3,5.5,10.6,39.0,55,No,Mastitis,Normal,18.1,33,Summer,Clean,5.5
COW_0344,Sahiwal,7,410,2,Late,Pregnant,Green Fodder,24.9,3,41,2.59,3.7,8.1,8.2,39.0,72,Yes,None,High Temp,21.4,63,Summer,Poor,8.3
COW_0345,Jersey,4,516,3,Late,Inseminated,Green Fodder,21.8,2,62,1.5,3.5,6.0,9.6,37.9,69,No,None,Low Activity,16.6,75,Winter,Clean,13.1
COW_0346,Gir,10,546,2,Mid,Inseminated,Green Fodder,11.1,2,68,3.04,6.2,8.2,9.1,39.3,54,No,FMD,High Temp,25.6,88,Winter,Clean,10.7
COW_0347,Gir,7,355,6,Mid,Inseminated,Green Fodder,23.6,4,34,2.41,3.7,6.4,7.4,38.4,63,Yes,FMD,Low Activity,32.6,31,Summer,Clean,17.6
COW_0348,Gir,5,389,4,Early,Pregnant,Dry Fodder,22.0,3,36,1.85,5.1,9.1,7.9,39.2,51,Yes,Mastitis,High Temp,24.1,51,Winter,Poor,18.9
COW_0349,Gir,10,305,2,Mid,Inseminated,Green Fodder,11.7,4,65,2.96,6.5,9.1,10.0,39.1,68,No,None,Low Activity,37.4,40,Winter,Moderate,18.0
COW_0350,Holstein,5,528,6,Late,Inseminated,Concentrate,14.8,4,38,2.19,3.7,7.3,6.3,38.9,63,No,Digestive Disorder,Low Activity,16.3,69,Summer,Poor,13.4
COW_0351,Gir,8,539,5,Late,Pregnant,Dry Fodder,17.2,3,44,4.72,2.2,7.2,7.6,38.0,44,No,None,Low Activity,29.8,75,Winter,Poor,15.8
COW_0352,Sahiwal,2,423,3,Mid,Open,Dry Fodder,11.4,3,52,2.37,5.7,9.2,10.9,38.0,45,No,FMD,Low Activity,24.2,39,Winter,Poor,10.0
COW_0353,Gir,9,399,1,Mid,Open,Concentrate,21.2,2,38,2.39,2.9,8.5,6.5,37.6,70,Yes,None,High Temp,29.1,71,Summer,Poor,7.6
COW_0354,Jersey,2,563,1,Early,Inseminated,Concentrate,17.3,4,54,3.12,7.9,5.2,7.4,37.8,60,Yes,Mastitis,High Temp,26.4,46,Summer,Poor,6.8
COW_0355,Sahiwal,2,579,3,Mid,Pregnant,Green Fodder,18.9,3,46,4.35,2.1,7.5,11.1,38.3,58,No,FMD,Normal,32.1,43,Winter,Moderate,6.3
COW_0356,Sahiwal,5,348,4,Dry,Open,Concentrate,20.8,4,66,3.82,5.5,9.0,8.4,38.0,46,Yes,FMD,High Temp,31.6,81,Winter,Clean,6.8
COW_0357,Gir,4,516,5,Mid,Open,Concentrate,16.9,3,45,3.24,7.6,6.5,9.2,38.9,51,No,Mastitis,Low Activity,24.1,45,Summer,Moderate,16.4
COW_0358,Jersey,5,469,2,Mid,Inseminated,Concentrate,15.9,4,46,4.0,7.7,7.6,8.0,38.7,44,No,Digestive Disorder,Normal,28.4,85,Summer,Poor,19.6
COW_0359,Holstein,9,395,1,Dry,Inseminated,Dry Fodder,24.8,2,38,1.06,7.9,5.4,8.3,38.2,59,Yes,Mastitis,Low Activity,38.0,37,Monsoon,Poor,6.4
COW_0360,Sahiwal,7,421,2,Dry,Inseminated,Dry Fodder,23.2,4,55,3.07,2.6,8.5,8.0,38.6,56,No,Mastitis,Low Activity,16.7,49,Winter,Moderate,11.3
COW_0361,Holstein,7,416,2,Early,Pregnant,Concentrate,23.9,3,54,4.46,2.6,8.1,7.3,38.4,63,Yes,Mastitis,Normal,19.0,45,Winter,Poor,19.7
COW_0362,Gir,10,599,6,Dry,Pregnant,Concentrate,14.5,4,68,4.82,4.3,7.5,7.3,39.2,73,No,Digestive Disorder,Low Activity,19.5,74,Winter,Moderate,17.9
COW_0363,Jersey,3,535,5,Early,Open,Concentrate,12.3,2,42,4.06,5.7,6.0,10.3,39.3,73,No,None,Low Activity,37.8,64,Monsoon,Poor,7.2
COW_0364,Jersey,6,460,4,Mid,Pregnant,Green Fodder,20.8,2,55,2.73,5.7,9.6,8.6,38.0,44,No,FMD,Low Activity,22.5,30,Monsoon,Poor,7.8
COW_0365,Sahiwal,9,505,2,Late,Pregnant,Green Fodder,22.9,4,66,1.2,5.3,8.0,9.7,38.2,77,Yes,Mastitis,High Temp,39.8,38,Winter,Moderate,5.9
COW_0366,Gir,3,317,6,Mid,Pregnant,Green Fodder,21.2,2,57,3.77,5.2,9.2,8.4,39.3,73,No,Mastitis,High Temp,34.0,52,Summer,Clean,17.5
COW_0367,Jersey,4,321,1,Mid,Open,Dry Fodder,16.4,2,60,4.5,6.2,8.6,10.9,39.3,69,Yes,Mastitis,Low Activity,18.1,53,Monsoon,Moderate,12.5
COW_0368,Holstein,6,345,1,Early,Inseminated,Dry Fodder,10.8,2,58,4.44,5.5,7.4,8.8,38.3,66,No,None,Low Activity,31.4,86,Winter,Poor,11.8
COW_0369,Jersey,2,387,1,Mid,Inseminated,Dry Fodder,10.4,4,35,4.95,3.2,8.4,6.9,37.8,64,Yes,Mastitis,Low Activity,31.1,76,Summer,Clean,18.8
COW_0370,Jersey,7,518,3,Mid,Open,Green Fodder,24.2,4,64,4.71,4.1,8.9,7.1,38.4,43,Yes,Mastitis,High Temp,17.7,30,Summer,Moderate,16.6
COW_0371,Gir,6,500,5,Early,Inseminated,Green Fodder,10.1,3,43,1.6,7.1,7.9,10.4,38.6,52,No,Digestive Disorder,Low Activity,37.6,52,Monsoon,Moderate,15.9
COW_0372,Jersey,8,361,2,Mid,Inseminated,Concentrate,22.1,2,49,2.28,5.3,7.5,10.3,38.4,79,No,FMD,Normal,35.2,37,Winter,Poor,10.7
COW_0373,Gir,3,356,1,Dry,Pregnant,Dry Fodder,22.8,4,56,2.61,6.7,4.7,9.6,37.6,69,No,Digestive Disorder,High Temp,18.7,39,Summer,Moderate,10.8
COW_0374,Jersey,9,451,2,Mid,Inseminated,Concentrate,16.4,3,42,3.74,2.8,6.6,11.4,38.9,61,No,Mastitis,High Temp,31.2,67,Summer,Moderate,19.1
COW_0375,Gir,6,473,4,Late,Pregnant,Concentrate,20.2,2,33,2.89,5.4,9.1,6.8,37.7,44,No,Mastitis,Low Activity,33.5,32,Summer,Moderate,11.8
COW_0376,Jersey,9,491,1,Mid,Pregnant,Dry Fodder,12.3,4,61,4.57,2.5,9.2,9.5,38.8,56,Yes,Mastitis,Normal,19.0,51,Summer,Clean,7.5
COW_0377,Gir,3,426,2,Mid,Open,Dry Fodder,20.1,3,64,2.01,4.6,7.0,10.9,37.7,50,Yes,Mastitis,Low Activity,22.0,80,Monsoon,Clean,6.3
COW_0378,Sahiwal,6,318,3,Early,Open,Concentrate,22.0,4,42,3.44,2.0,8.9,6.5,38.3,76,No,FMD,High Temp,28.1,30,Winter,Moderate,9.6
COW_0379,Sahiwal,6,560,4,Late,Open,Dry Fodder,23.7,4,55,3.16,2.7,8.2,8.9,37.8,47,Yes,Mastitis,Normal,39.4,83,Summer,Clean,13.2
COW_0380,Jersey,7,588,4,Mid,Open,Concentrate,13.0,2,54,1.04,2.9,4.6,7.7,38.2,73,Yes,FMD,Normal,27.3,33,Summer,Moderate,17.2
COW_0381,Jersey,6,465,4,Early,Open,Green Fodder,23.7,3,70,3.38,6.0,7.0,10.8,38.5,73,Yes,Digestive Disorder,Normal,24.5,90,Monsoon,Moderate,7.2
COW_0382,Sahiwal,9,379,6,Dry,Pregnant,Concentrate,22.0,3,31,1.47,2.2,9.8,11.9,37.8,58,Yes,Mastitis,High Temp,16.0,56,Summer,Poor,8.7
COW_0383,Holstein,10,335,6,Dry,Open,Concentrate,13.2,3,43,1.82,7.3,4.8,11.3,38.1,46,No,Digestive Disorder,High Temp,35.3,49,Winter,Poor,5.0
COW_0384,Jersey,10,359,6,Early,Open,Dry Fodder,12.2,2,45,3.11,2.5,6.4,9.8,37.7,51,No,None,High Temp,37.9,40,Monsoon,Poor,15.6
COW_0385,Holstein,2,376,5,Late,Pregnant,Green Fodder,15.1,3,40,2.55,5.4,7.1,9.7,37.9,50,No,None,Low Activity,36.2,33,Winter,Clean,6.7
COW_0386,Jersey,6,320,3,Mid,Inseminated,Green Fodder,15.3,2,65,3.13,6.0,5.1,11.5,37.9,58,No,None,High Temp,40.0,33,Summer,Clean,20.0
COW_0387,Sahiwal,8,538,4,Mid,Open,Green Fodder,13.6,4,60,1.05,4.5,6.5,10.4,39.1,59,No,Mastitis,High Temp,21.2,39,Winter,Poor,15.3
COW_0388,Gir,2,438,3,Mid,Inseminated,Concentrate,12.3,3,68,2.31,5.9,6.8,9.8,38.5,52,No,Mastitis,High Temp,37.5,63,Monsoon,Moderate,13.4
COW_0389,Holstein,9,464,2,Dry,Open,Concentrate,11.8,3,52,1.02,2.8,6.4,8.6,38.2,75,No,Digestive Disorder,Normal,29.6,39,Monsoon,Poor,10.2
COW_0390,Sahiwal,5,377,3,Dry,Pregnant,Green Fodder,13.4,2,67,4.42,3.6,6.7,9.7,38.8,61,Yes,Mastitis,Normal,17.5,78,Winter,Poor,18.5
COW_0391,Holstein,10,539,4,Late,Pregnant,Concentrate,19.4,3,36,3.56,6.4,4.1,8.9,37.7,68,Yes,None,Low Activity,16.1,85,Monsoon,Moderate,5.7
COW_0392,Jersey,3,474,3,Dry,Open,Concentrate,10.1,4,64,3.9,2.2,5.6,8.0,38.7,46,No,FMD,Normal,19.9,35,Summer,Clean,7.3
COW_0393,Gir,9,474,6,Late,Inseminated,Green Fodder,11.0,2,32,4.31,5.9,6.8,10.4,38.5,61,Yes,Mastitis,Low Activity,32.4,76,Monsoon,Clean,17.6
COW_0394,Sahiwal,9,464,3,Late,Inseminated,Concentrate,20.0,3,47,1.43,2.7,7.0,7.6,39.0,53,Yes,None,High Temp,19.2,30,Monsoon,Clean,15.5
COW_0395,Holstein,5,367,2,Mid,Open,Concentrate,17.6,4,52,2.38,4.6,5.3,6.8,37.7,67,Yes,Mastitis,High Temp,23.6,51,Winter,Clean,9.8
COW_0396,Jersey,2,579,3,Early,Open,Green Fodder,12.2,3,51,2.29,3.1,6.7,8.4,38.9,75,Yes,None,Low Activity,21.7,61,Winter,Moderate,9.6
COW_0397,Sahiwal,6,473,1,Late,Pregnant,Dry Fodder,22.7,4,37,3.59,3.3,6.9,7.3,38.5,64,Yes,Mastitis,Low Activity,25.7,87,Summer,Moderate,10.8
COW_0398,Jersey,10,390,2,Late,Pregnant,Concentrate,18.5,3,40,4.13,4.1,5.0,7.8,39.3,77,No,FMD,Low Activity,21.5,57,Summer,Poor,12.0
COW_0399,Sahiwal,9,596,6,Dry,Inseminated,Green Fodder,24.4,2,52,3.59,2.9,4.1,10.3,37.9,54,Yes,Mastitis,High Temp,22.9,46,Monsoon,Clean,6.2
COW_0400,Holstein,10,404,6,Early,Open,Concentrate,13.8,2,62,4.3,6.9,7.3,11.5,38.4,41,Yes,Mastitis,Low Activity,39.8,33,Winter,Clean,13.3
COW_0401,Holstein,7,423,3,Late,Inseminated,Concentrate,14.9,2,70,1.25,6.6,4.9,10.9,38.4,59,Yes,Mastitis,Normal,33.3,65,Summer,Poor,6.8
COW_0402,Sahiwal,9,573,1,Early,Inseminated,Green Fodder,10.9,4,59,3.47,7.1,6.2,9.3,39.2,46,Yes,Mastitis,High Temp,31.9,47,Monsoon,Poor,8.9
COW_0403,Holstein,3,305,6,Dry,Pregnant,Green Fodder,20.9,4,36,3.61,2.1,6.8,8.4,38.7,55,Yes,None,High Temp,26.2,68,Winter,Poor,5.5
COW_0404,Holstein,4,344,6,Early,Pregnant,Concentrate,17.0,4,30,3.6,7.4,8.2,10.5,38.5,53,Yes,Digestive Disorder,High Temp,16.4,75,Winter,Poor,12.6
COW_0405,Gir,9,548,4,Mid,Open,Dry Fodder,21.3,4,46,2.47,5.6,6.3,9.4,38.1,70,Yes,Mastitis,Low Activity,29.8,87,Monsoon,Moderate,12.4
COW_0406,Jersey,2,402,1,Early,Open,Dry Fodder,16.1,4,66,4.83,2.9,9.0,11.9,38.5,79,No,Digestive Disorder,Low Activity,37.1,78,Winter,Clean,14.6
COW_0407,Holstein,4,350,4,Early,Inseminated,Green Fodder,16.1,2,46,2.34,6.9,5.7,9.9,38.8,59,Yes,Digestive Disorder,Low Activity,36.1,89,Winter,Poor,10.7
COW_0408,Jersey,2,333,5,Mid,Inseminated,Concentrate,21.1,3,41,4.15,3.8,9.1,11.0,37.8,76,No,Mastitis,High Temp,34.0,39,Winter,Moderate,18.8
COW_0409,Jersey,8,558,6,Early,Inseminated,Concentrate,13.1,4,50,3.27,7.4,4.3,10.8,38.6,48,Yes,None,Low Activity,21.9,57,Summer,Moderate,9.2
COW_0410,Holstein,10,599,1,Late,Pregnant,Dry Fodder,23.4,3,51,2.27,2.3,5.0,9.8,38.4,72,No,None,Normal,17.5,51,Monsoon,Moderate,16.7
COW_0411,Holstein,3,524,5,Dry,Open,Concentrate,24.1,4,59,1.95,7.5,4.1,7.7,38.0,69,No,Digestive Disorder,High Temp,23.6,35,Monsoon,Clean,5.4
COW_0412,Jersey,2,499,2,Early,Inseminated,Green Fodder,18.8,4,42,2.53,7.1,4.5,10.0,38.3,43,Yes,FMD,Normal,20.0,50,Winter,Poor,13.1
COW_0413,Jersey,8,561,6,Late,Inseminated,Dry Fodder,23.8,2,42,3.09,6.4,9.3,9.2,38.6,69,Yes,Mastitis,High Temp,19.6,51,Winter,Moderate,9.2
COW_0414,Gir,9,579,4,Dry,Open,Concentrate,17.3,4,58,3.37,2.3,8.9,6.6,37.5,58,Yes,None,High Temp,33.3,75,Summer,Moderate,5.8
COW_0415,Holstein,3,430,4,Dry,Pregnant,Green Fodder,18.5,3,68,2.08,4.1,5.2,11.6,38.6,70,No,Mastitis,Low Activity,36.1,86,Monsoon,Moderate,11.6
COW_0416,Sahiwal,4,300,6,Early,Inseminated,Green Fodder,16.8,3,53,3.82,5.0,8.2,10.6,38.4,66,Yes,Digestive Disorder,High Temp,15.3,40,Winter,Moderate,12.9
COW_0417,Sahiwal,4,361,5,Early,Inseminated,Green Fodder,10.6,3,41,3.67,2.7,9.5,10.8,39.0,73,Yes,Mastitis,Normal,39.6,87,Monsoon,Poor,10.9
COW_0418,Sahiwal,10,415,1,Mid,Open,Green Fodder,25.0,2,62,1.81,4.4,7.5,9.2,37.9,65,No,Digestive Disorder,High Temp,26.0,50,Monsoon,Moderate,19.2
COW_0419,Jersey,5,356,1,Dry,Open,Green Fodder,11.1,3,31,4.45,2.7,5.8,8.6,38.0,70,Yes,None,Normal,37.1,67,Summer,Poor,17.4
COW_0420,Gir,6,435,5,Mid,Open,Dry Fodder,15.6,4,42,3.92,5.0,8.5,6.9,38.3,67,No,None,Low Activity,27.1,31,Winter,Moderate,13.1
COW_0421,Gir,7,547,6,Early,Open,Dry Fodder,12.7,3,59,4.03,2.9,8.6,8.7,38.3,51,No,Mastitis,High Temp,21.0,74,Monsoon,Poor,12.0
COW_0422,Jersey,6,362,1,Dry,Open,Concentrate,12.6,3,49,1.5,6.8,6.3,11.6,39.2,70,No,Digestive Disorder,High Temp,33.8,30,Winter,Moderate,17.3
COW_0423,Gir,7,401,5,Late,Inseminated,Green Fodder,23.8,4,63,4.97,5.3,6.5,7.9,39.4,63,No,Digestive Disorder,Normal,25.0,50,Monsoon,Poor,6.7
COW_0424,Holstein,2,591,5,Mid,Inseminated,Concentrate,16.0,3,68,2.6,3.3,9.9,11.5,37.6,45,Yes,FMD,Normal,20.2,64,Winter,Poor,9.8
COW_0425,Jersey,5,438,4,Dry,Inseminated,Concentrate,13.8,2,62,3.82,4.7,6.7,7.5,37.6,80,No,Digestive Disorder,High Temp,24.3,48,Summer,Poor,9.3
COW_0426,Gir,4,525,2,Late,Inseminated,Green Fodder,22.1,4,30,2.78,4.9,4.3,10.6,38.5,52,No,None,High Temp,39.5,36,Winter,Poor,10.7
COW_0427,Gir,4,519,3,Mid,Inseminated,Green Fodder,23.0,3,65,3.26,3.9,6.3,8.3,38.2,42,Yes,None,Low Activity,31.8,66,Monsoon,Clean,17.9
COW_0428,Gir,5,375,1,Mid,Open,Dry Fodder,14.0,3,48,4.95,5.2,5.9,8.0,37.9,46,Yes,Mastitis,High Temp,19.7,69,Monsoon,Clean,14.0
COW_0429,Jersey,6,511,2,Early,Inseminated,Concentrate,20.2,4,34,2.09,7.5,6.5,8.2,38.8,76,No,FMD,Low Activity,20.4,43,Summer,Moderate,10.9
